主题标签,中国关联层级,科技关联层级,报告ID,发布日期,观察窗,材料类型,报告名称,资料角色,本地原始资产,本地文本,官方落地页
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-C54880A848,2025-11-17,W3,NBR政策简报,Codeveloping the Model: U.S. and ASEAN Cooperation in Shaping and Deploying AI,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-C54880A848.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-C54880A848.txt,https://www.nbr.org/publication/codeveloping-the-model-u-s-and-asean-cooperation-in-shaping-and-deploying-ai/
人工智能、芯片与算力,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-EC60A5F3E0,2025-12-01,W3,NBR访谈,Southeast Asia’s Geoeconomic Outlook,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-EC60A5F3E0.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-EC60A5F3E0.txt,https://www.nbr.org/publication/southeast-asias-geoeconomic-outlook/
网络安全与数字治理,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-EC60A5F3E0,2025-12-01,W3,NBR访谈,Southeast Asia’s Geoeconomic Outlook,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-EC60A5F3E0.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-EC60A5F3E0.txt,https://www.nbr.org/publication/southeast-asias-geoeconomic-outlook/
技术供应链与出口管制,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-EC60A5F3E0,2025-12-01,W3,NBR访谈,Southeast Asia’s Geoeconomic Outlook,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-EC60A5F3E0.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-EC60A5F3E0.txt,https://www.nbr.org/publication/southeast-asias-geoeconomic-outlook/
创新体系、标准与知识产权,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-EC60A5F3E0,2025-12-01,W3,NBR访谈,Southeast Asia’s Geoeconomic Outlook,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-EC60A5F3E0.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-EC60A5F3E0.txt,https://www.nbr.org/publication/southeast-asias-geoeconomic-outlook/
生物、量子及其他前沿技术,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-EC60A5F3E0,2025-12-01,W3,NBR访谈,Southeast Asia’s Geoeconomic Outlook,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-EC60A5F3E0.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-EC60A5F3E0.txt,https://www.nbr.org/publication/southeast-asias-geoeconomic-outlook/
人工智能、芯片与算力,含中国比较的印太技术材料,核心科技直接材料,C-NBR-B036FC537F,2026-01-13,W3,NBR政策证词,Maintaining American Innovation and Technology Leadership,作者政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B036FC537F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B036FC537F.txt,https://www.nbr.org/publication/maintaining-american-innovation-and-technology-leadership/
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-B036FC537F,2026-01-13,W3,NBR政策证词,Maintaining American Innovation and Technology Leadership,作者政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B036FC537F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B036FC537F.txt,https://www.nbr.org/publication/maintaining-american-innovation-and-technology-leadership/
技术供应链与出口管制,含中国比较的印太技术材料,核心科技直接材料,C-NBR-B036FC537F,2026-01-13,W3,NBR政策证词,Maintaining American Innovation and Technology Leadership,作者政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B036FC537F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B036FC537F.txt,https://www.nbr.org/publication/maintaining-american-innovation-and-technology-leadership/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-B036FC537F,2026-01-13,W3,NBR政策证词,Maintaining American Innovation and Technology Leadership,作者政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B036FC537F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B036FC537F.txt,https://www.nbr.org/publication/maintaining-american-innovation-and-technology-leadership/
技术供应链与出口管制,直接涉华科技,核心科技直接材料,C-NBR-727919EA98,2026-01-27,W3,NBR政策简报,China’s Influence in Indonesia’s Nickel Sector and Implications for the United States,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-727919EA98.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-727919EA98.txt,https://www.nbr.org/publication/chinas-influence-in-indonesias-nickel-sector-and-implications-for-the-united-states/
创新体系、标准与知识产权,直接涉华科技,核心科技直接材料,C-NBR-727919EA98,2026-01-27,W3,NBR政策简报,China’s Influence in Indonesia’s Nickel Sector and Implications for the United States,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-727919EA98.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-727919EA98.txt,https://www.nbr.org/publication/chinas-influence-in-indonesias-nickel-sector-and-implications-for-the-united-states/
人工智能、芯片与算力,含中国比较的印太技术材料,核心科技直接材料,C-NBR-BE401752A7,2026-01-27,W3,NBR政策简报,Advancing Resilient Critical Mineral Supply Chains in Indonesia A Triumvirate Approach,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-BE401752A7.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-BE401752A7.txt,https://www.nbr.org/publication/advancing-resilient-critical-mineral-supply-chains-in-indonesia-a-triumvirate-approach/
技术供应链与出口管制,含中国比较的印太技术材料,核心科技直接材料,C-NBR-BE401752A7,2026-01-27,W3,NBR政策简报,Advancing Resilient Critical Mineral Supply Chains in Indonesia A Triumvirate Approach,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-BE401752A7.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-BE401752A7.txt,https://www.nbr.org/publication/advancing-resilient-critical-mineral-supply-chains-in-indonesia-a-triumvirate-approach/
网络安全与数字治理,区域技术基线,核心科技直接材料,C-NBR-C6D99202EA,2026-02-25,W3,NBR政策简报,South Korea’s Online Platform Fairness Bill A New Digital Nontariff Barrier in U.S.-ROK Trade,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-C6D99202EA.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-C6D99202EA.txt,https://www.nbr.org/publication/south-koreas-online-platform-fairness-bill-a-new-digital-nontariff-barrier-in-u-s-rok-trade/
创新体系、标准与知识产权,区域技术基线,核心科技直接材料,C-NBR-C6D99202EA,2026-02-25,W3,NBR政策简报,South Korea’s Online Platform Fairness Bill A New Digital Nontariff Barrier in U.S.-ROK Trade,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-C6D99202EA.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-C6D99202EA.txt,https://www.nbr.org/publication/south-koreas-online-platform-fairness-bill-a-new-digital-nontariff-barrier-in-u-s-rok-trade/
人工智能、芯片与算力,区域技术基线,核心科技直接材料,C-NBR-0540D61F1A,2026-02-27,W3,NBR政策简报,The Road Ahead for AI in Vietnam Why Implementation of Its Law on AI Will Determine Competitiveness,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-0540D61F1A.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-0540D61F1A.txt,https://www.nbr.org/publication/the-road-ahead-for-ai-in-vietnam-why-implementation-of-its-law-on-ai-will-determine-competitiveness/
网络安全与数字治理,区域技术基线,核心科技直接材料,C-NBR-0540D61F1A,2026-02-27,W3,NBR政策简报,The Road Ahead for AI in Vietnam Why Implementation of Its Law on AI Will Determine Competitiveness,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-0540D61F1A.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-0540D61F1A.txt,https://www.nbr.org/publication/the-road-ahead-for-ai-in-vietnam-why-implementation-of-its-law-on-ai-will-determine-competitiveness/
创新体系、标准与知识产权,区域技术基线,核心科技直接材料,C-NBR-0540D61F1A,2026-02-27,W3,NBR政策简报,The Road Ahead for AI in Vietnam Why Implementation of Its Law on AI Will Determine Competitiveness,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-0540D61F1A.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-0540D61F1A.txt,https://www.nbr.org/publication/the-road-ahead-for-ai-in-vietnam-why-implementation-of-its-law-on-ai-will-determine-competitiveness/
人工智能、芯片与算力,区域技术基线,核心科技直接材料,C-NBR-6084BD1D5B,2026-03-09,W3,NBR政策简报,South Korea’s Approach to AI Governance Mitigating Risks and Ensuring AI Safety,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-6084BD1D5B.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-6084BD1D5B.txt,https://www.nbr.org/publication/south-koreas-approach-to-ai-governance-mitigating-risks-and-ensuring-ai-safety/
网络安全与数字治理,区域技术基线,核心科技直接材料,C-NBR-6084BD1D5B,2026-03-09,W3,NBR政策简报,South Korea’s Approach to AI Governance Mitigating Risks and Ensuring AI Safety,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-6084BD1D5B.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-6084BD1D5B.txt,https://www.nbr.org/publication/south-koreas-approach-to-ai-governance-mitigating-risks-and-ensuring-ai-safety/
创新体系、标准与知识产权,区域技术基线,核心科技直接材料,C-NBR-6084BD1D5B,2026-03-09,W3,NBR政策简报,South Korea’s Approach to AI Governance Mitigating Risks and Ensuring AI Safety,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-6084BD1D5B.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-6084BD1D5B.txt,https://www.nbr.org/publication/south-koreas-approach-to-ai-governance-mitigating-risks-and-ensuring-ai-safety/
人工智能、芯片与算力,含中国比较的印太技术材料,核心科技直接材料,C-NBR-84A865AEBE,2026-03-09,W3,NBR政策简报,Taiwan’s Emerging AI Governance Building from the Basic Act to the Hard Questions of Data and Copyright,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-84A865AEBE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-84A865AEBE.txt,https://www.nbr.org/publication/taiwans-emerging-ai-governance-building-from-the-basic-act-to-the-hard-questions-of-data-and-copyright/
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-84A865AEBE,2026-03-09,W3,NBR政策简报,Taiwan’s Emerging AI Governance Building from the Basic Act to the Hard Questions of Data and Copyright,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-84A865AEBE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-84A865AEBE.txt,https://www.nbr.org/publication/taiwans-emerging-ai-governance-building-from-the-basic-act-to-the-hard-questions-of-data-and-copyright/
技术供应链与出口管制,含中国比较的印太技术材料,核心科技直接材料,C-NBR-84A865AEBE,2026-03-09,W3,NBR政策简报,Taiwan’s Emerging AI Governance Building from the Basic Act to the Hard Questions of Data and Copyright,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-84A865AEBE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-84A865AEBE.txt,https://www.nbr.org/publication/taiwans-emerging-ai-governance-building-from-the-basic-act-to-the-hard-questions-of-data-and-copyright/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-84A865AEBE,2026-03-09,W3,NBR政策简报,Taiwan’s Emerging AI Governance Building from the Basic Act to the Hard Questions of Data and Copyright,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-84A865AEBE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-84A865AEBE.txt,https://www.nbr.org/publication/taiwans-emerging-ai-governance-building-from-the-basic-act-to-the-hard-questions-of-data-and-copyright/
人工智能、芯片与算力,含中国比较的印太技术材料,核心科技直接材料,C-NBR-C6742C498F,2026-03-09,W3,NBR政策简报,The Indo-Pacific as the Epicenter of AI Risk,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C6742C498F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C6742C498F.txt,https://www.nbr.org/publication/the-indo-pacific-as-the-epicenter-of-ai-risk/
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-C6742C498F,2026-03-09,W3,NBR政策简报,The Indo-Pacific as the Epicenter of AI Risk,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C6742C498F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C6742C498F.txt,https://www.nbr.org/publication/the-indo-pacific-as-the-epicenter-of-ai-risk/
技术供应链与出口管制,含中国比较的印太技术材料,核心科技直接材料,C-NBR-C6742C498F,2026-03-09,W3,NBR政策简报,The Indo-Pacific as the Epicenter of AI Risk,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C6742C498F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C6742C498F.txt,https://www.nbr.org/publication/the-indo-pacific-as-the-epicenter-of-ai-risk/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-C6742C498F,2026-03-09,W3,NBR政策简报,The Indo-Pacific as the Epicenter of AI Risk,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C6742C498F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C6742C498F.txt,https://www.nbr.org/publication/the-indo-pacific-as-the-epicenter-of-ai-risk/
生物、量子及其他前沿技术,含中国比较的印太技术材料,核心科技直接材料,C-NBR-C6742C498F,2026-03-09,W3,NBR政策简报,The Indo-Pacific as the Epicenter of AI Risk,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C6742C498F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C6742C498F.txt,https://www.nbr.org/publication/the-indo-pacific-as-the-epicenter-of-ai-risk/
人工智能、芯片与算力,区域技术基线,核心科技直接材料,C-NBR-6B746EB4BD,2026-03-20,W3,NBR政策简报,A Framework for Deeper U.S.-Japan Quantum Cooperation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-6B746EB4BD.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-6B746EB4BD.txt,https://www.nbr.org/publication/a-framework-for-deeper-u-s-japan-quantum-cooperation/
网络安全与数字治理,区域技术基线,核心科技直接材料,C-NBR-6B746EB4BD,2026-03-20,W3,NBR政策简报,A Framework for Deeper U.S.-Japan Quantum Cooperation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-6B746EB4BD.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-6B746EB4BD.txt,https://www.nbr.org/publication/a-framework-for-deeper-u-s-japan-quantum-cooperation/
技术供应链与出口管制,区域技术基线,核心科技直接材料,C-NBR-6B746EB4BD,2026-03-20,W3,NBR政策简报,A Framework for Deeper U.S.-Japan Quantum Cooperation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-6B746EB4BD.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-6B746EB4BD.txt,https://www.nbr.org/publication/a-framework-for-deeper-u-s-japan-quantum-cooperation/
创新体系、标准与知识产权,区域技术基线,核心科技直接材料,C-NBR-6B746EB4BD,2026-03-20,W3,NBR政策简报,A Framework for Deeper U.S.-Japan Quantum Cooperation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-6B746EB4BD.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-6B746EB4BD.txt,https://www.nbr.org/publication/a-framework-for-deeper-u-s-japan-quantum-cooperation/
生物、量子及其他前沿技术,区域技术基线,核心科技直接材料,C-NBR-6B746EB4BD,2026-03-20,W3,NBR政策简报,A Framework for Deeper U.S.-Japan Quantum Cooperation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-6B746EB4BD.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-6B746EB4BD.txt,https://www.nbr.org/publication/a-framework-for-deeper-u-s-japan-quantum-cooperation/
人工智能、芯片与算力,区域技术基线,核心科技直接材料,C-NBR-C798226BE4,2026-03-20,W3,NBR政策简报,Japan’s Next Moonshot: Leadership in High-Performance Computing Coupled with Quantum Computing Technology,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-C798226BE4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-C798226BE4.txt,https://www.nbr.org/publication/japans-next-moonshot-leadership-in-high-performance-computing-coupled-with-quantum-computing-technology/
网络安全与数字治理,区域技术基线,核心科技直接材料,C-NBR-C798226BE4,2026-03-20,W3,NBR政策简报,Japan’s Next Moonshot: Leadership in High-Performance Computing Coupled with Quantum Computing Technology,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-C798226BE4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-C798226BE4.txt,https://www.nbr.org/publication/japans-next-moonshot-leadership-in-high-performance-computing-coupled-with-quantum-computing-technology/
技术供应链与出口管制,区域技术基线,核心科技直接材料,C-NBR-C798226BE4,2026-03-20,W3,NBR政策简报,Japan’s Next Moonshot: Leadership in High-Performance Computing Coupled with Quantum Computing Technology,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-C798226BE4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-C798226BE4.txt,https://www.nbr.org/publication/japans-next-moonshot-leadership-in-high-performance-computing-coupled-with-quantum-computing-technology/
创新体系、标准与知识产权,区域技术基线,核心科技直接材料,C-NBR-C798226BE4,2026-03-20,W3,NBR政策简报,Japan’s Next Moonshot: Leadership in High-Performance Computing Coupled with Quantum Computing Technology,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-C798226BE4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-C798226BE4.txt,https://www.nbr.org/publication/japans-next-moonshot-leadership-in-high-performance-computing-coupled-with-quantum-computing-technology/
生物、量子及其他前沿技术,区域技术基线,核心科技直接材料,C-NBR-C798226BE4,2026-03-20,W3,NBR政策简报,Japan’s Next Moonshot: Leadership in High-Performance Computing Coupled with Quantum Computing Technology,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-C798226BE4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-C798226BE4.txt,https://www.nbr.org/publication/japans-next-moonshot-leadership-in-high-performance-computing-coupled-with-quantum-computing-technology/
人工智能、芯片与算力,含中国比较的印太技术材料,核心科技直接材料,C-NBR-9790F299C4,2026-03-25,W3,NBR研究报告,Analyzing National Quantum-Computing Ecosystems in the Indo-Pacific,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-9790F299C4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-9790F299C4.txt,https://www.nbr.org/publication/analyzing-national-quantum-computing-ecosystems-in-the-indo-pacific/
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-9790F299C4,2026-03-25,W3,NBR研究报告,Analyzing National Quantum-Computing Ecosystems in the Indo-Pacific,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-9790F299C4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-9790F299C4.txt,https://www.nbr.org/publication/analyzing-national-quantum-computing-ecosystems-in-the-indo-pacific/
技术供应链与出口管制,含中国比较的印太技术材料,核心科技直接材料,C-NBR-9790F299C4,2026-03-25,W3,NBR研究报告,Analyzing National Quantum-Computing Ecosystems in the Indo-Pacific,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-9790F299C4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-9790F299C4.txt,https://www.nbr.org/publication/analyzing-national-quantum-computing-ecosystems-in-the-indo-pacific/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-9790F299C4,2026-03-25,W3,NBR研究报告,Analyzing National Quantum-Computing Ecosystems in the Indo-Pacific,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-9790F299C4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-9790F299C4.txt,https://www.nbr.org/publication/analyzing-national-quantum-computing-ecosystems-in-the-indo-pacific/
